交流负荷,直流负荷,光伏出力,电价,冷负荷,热水负荷
5000,19.5682133,0,0.3647,0,0
4525,19.34694195,0,0.3647,0,0
4050,19.1256706,0,0.3647,0,0
4775,19.1663123,0,0.3647,0,0
5500,19.206954,0,0.3647,0,0
5275,19.22133745,0,0.3647,0,0
5050,19.2357209,0,0.3647,0,0
5017.5,19.2726831,0,0.3647,0,0
4985,19.3096453,0,0.3647,0,0
4957.5,19.5021497,0,0.3647,0,0
4930,19.6946541,0,0.3647,0,0
5440,19.63862545,0,0.3647,0,0
5950,19.5825968,0,0.3647,0,0
5405,19.67642385,0.122170075,0.3647,0,0
4860,19.7702509,0.24434015,0.3647,0,0
5305,19.94335435,1.5096731,0.3647,0,0
5750,20.1164578,2.77500605,0.3647,0,0
5112.5,20.39342325,5.9601545,0.3647,0,0
4475,20.6703887,9.14530295,0.3647,0,0
4435,20.4487829,13.94484173,0.3647,0,0
4395,20.2271771,18.7443805,0.3647,0,0
4150,20.76220885,26.91668605,0.3647,0,0
3905,21.2972406,35.0889916,0.3647,0,0
4057.5,28.6920182,47.99538765,0.3647,0,0
4210,36.0867958,60.9017837,0.3647,0,0
4112.5,38.29081215,74.39721408,0.3647,0,0
4015,40.4948285,87.89264445,0.3647,0,0
4007.5,42.8125747,110.5464674,0.3647,0,0
4000,45.1303209,133.2002904,0.3647,0,0
4310,43.723751,160.9459877,0.3647,0,0
4620,42.3171811,188.691685,0.3647,0,0
4720,40.78065825,203.3171886,0.3647,200.46,500
4820,39.2441354,217.9426921,0.7541,400.92,500
5085,42.53360225,238.2141986,0.7541,624.94,500
5350,45.8230691,258.485705,0.7541,848.96,500
5400,44.8789446,265.5497535,0.7541,900.58,500
5450,43.9348201,272.6138019,0.7541,952.2,500
5750,43.0984044,286.3972045,0.7541,1006.7,500
6050,42.2619887,300.1806072,0.7541,1061.2,500
5900,41.5971712,310.2596386,0.7541,1199.12,500
5750,40.9323537,320.33867,0.7541,1337.04,500
5700,40.61608455,327.3678127,0.7541,1475.04,500
5650,40.2998154,334.3969554,0.7541,1613.04,500
5675,39.99843145,336.1116997,0.7541,1632.26,500
5700,39.6970475,337.826444,0.7541,1651.48,500
5625,39.0792272,343.8913157,0.7541,1674.7,500
5550,38.4614069,349.9561874,0.7541,1697.92,600
5425,35.2655999,354.1797816,0.7541,1742.74,600
5300,32.0697929,358.4033757,0.7541,1787.56,600
5150,28.1248745,355.4887467,0.7541,1827.64,600
5000,24.1799561,352.5741177,0.7541,1867.72,600
5200,19.2233444,347.5825974,0.7541,1899.56,1500
5400,14.2667327,342.591077,0.7541,1931.4,1500
5450,10.5524517,335.3874057,0.7541,1963.22,1500
5500,6.8381707,328.1837343,0.7541,1995.04,1500
5500,8.24875455,317.7163766,0.7541,2003.68,1500
5500,9.6593384,307.2490189,1.1902,2012.32,1500
5550,10.15272495,302.9468869,1.1902,2024.92,1500
5600,10.6461115,298.6447548,1.1902,2037.52,1500
5625,9.09654315,275.6811435,1.1902,2058.88,1500
5650,7.5469748,252.7175321,1.1902,2080.24,1500
5525,6.86442885,236.1373073,1.1902,2101.32,1500
5400,6.1818829,219.5570824,1.1902,2122.4,1500
5400,5.28425385,205.6733258,1.1902,2101.36,1500
5400,4.3866248,191.7895691,1.1902,2080.32,1500
5350,3.88972595,174.74248,1.1902,2058.92,1500
5300,3.3928271,157.695391,1.1902,2037.52,1500
4945,3.7841914,133.7107868,1.1902,1979.14,1500
4590,4.1755557,109.7261826,0.7541,1920.76,1500
4820,4.19094265,84.68131668,0.7541,1862.4,500
5050,4.2063296,59.63645075,0.7541,1804.04,500
5150,4.99691885,48.61932768,0.7541,1774.12,500
5250,5.7875081,37.6022046,0.7541,1744.2,500
5250,6.7020294,27.74133405,0.7541,1721.06,500
5250,7.6165507,17.8804635,0.7541,1697.92,1000
5275,9.23034295,12.8889432,0.7541,1613.02,1000
5300,10.8441352,7.8974229,1.1902,1528.12,1000
5097.5,12.2970332,4.6250101,1.1902,1443.22,1000
4895,13.7499312,1.3525973,1.1902,1358.32,1000
4947.5,14.58450715,0.711204375,1.1902,1284.04,1000
5000,15.4190831,0.06981145,1.1902,1209.76,1000
5625,16.5040318,0.034905725,1.1902,1135.48,500
6250,17.5889805,0,1.1902,1061.2,500
5650,18.5862904,0,1.1902,1008.14,500
5050,19.5836003,0,1.1902,955.08,500
5150,19.48325045,0,1.1902,902.02,500
5250,19.3829006,0,1.1902,848.96,500
5500,19.49077665,0,1.1902,424.48,500
5750,19.5986527,0,0.7541,0,0
6075,19.47187745,0,0.7541,0,0
6400,19.3451022,0,0.7541,0,0
6025,19.38959065,0,0.7541,0,0
5650,19.4340791,0,0.7541,0,0
5750,19.46635825,0,0.7541,0,0
5800,19.4986374,0,0.7541,0,0
5850,19.4986374,0,0.7541,0,0
